%% File generated by CATS v.2.1Wed Jun 19 19:25:38 2013

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 32; Bids: 4960; Distribution: L3; Runs: 100; Seed: 1371665071
% Legacy distribution parameters:
% Number of goods chosen according to Constant distribution (const_goods = 3).
% Price chosen according to Fixed Random distribution (low_fixed = 0, high_fixed = 1000).


goods 32
bids 4960
dummy 0

0	966806	10	13	15	#
1	925021	9	17	27	#
2	907823	19	27	31	#
3	996186	1	2	13	#
4	911986	11	17	21	#
5	967695	13	14	16	#
6	972694	5	9	27	#
7	764501	8	9	28	#
8	950724	7	14	16	#
9	841991	15	27	28	#
10	972889	2	13	23	#
11	771817	0	2	16	#
12	967534	12	13	18	#
13	994616	21	30	31	#
14	931829	21	22	30	#
15	938904	0	16	21	#
16	631647	17	22	26	#
17	947369	1	25	27	#
18	982386	6	14	31	#
19	568903	6	19	24	#
20	987988	5	12	26	#
21	951494	9	12	25	#
22	939498	11	13	31	#
23	966011	1	7	28	#
24	947256	3	21	22	#
25	957545	6	22	27	#
26	992340	8	9	27	#
27	863434	1	20	24	#
28	986990	1	2	14	#
29	960215	7	12	30	#
30	976611	3	5	31	#
31	815886	17	18	20	#
32	885229	8	24	25	#
33	978810	14	15	28	#
34	849922	17	20	25	#
35	986928	3	7	9	#
36	845270	22	24	30	#
37	973481	18	28	29	#
38	837256	10	13	14	#
39	792715	8	13	23	#
40	958147	7	19	20	#
41	966063	11	28	30	#
42	905179	4	20	28	#
43	829844	6	16	25	#
44	961773	11	13	14	#
45	999281	14	27	29	#
46	872375	12	19	31	#
47	891440	21	23	31	#
48	934579	1	27	29	#
49	802726	5	14	22	#
50	925800	9	20	29	#
51	975205	6	10	30	#
52	940009	17	28	31	#
53	947974	21	26	30	#
54	947662	4	12	14	#
55	990938	12	25	31	#
56	964550	4	6	27	#
57	909635	12	14	22	#
58	985434	4	7	19	#
59	894911	12	21	25	#
60	821778	8	13	21	#
61	673637	4	21	22	#
62	953660	1	6	8	#
63	929351	0	1	30	#
64	919502	3	10	18	#
65	780534	21	24	25	#
66	862317	22	24	27	#
67	913655	2	10	20	#
68	942279	9	12	22	#
69	745391	16	17	20	#
70	920826	8	10	15	#
71	924310	7	13	24	#
72	985795	0	9	11	#
73	969305	5	11	30	#
74	851402	2	7	11	#
75	605196	7	10	11	#
76	952174	15	19	21	#
77	997632	7	25	28	#
78	983532	12	19	24	#
79	745359	11	12	13	#
80	982589	3	8	14	#
81	992477	9	17	18	#
82	996443	5	7	27	#
83	970918	15	21	27	#
84	900755	1	3	9	#
85	932631	19	23	25	#
86	865208	1	22	29	#
87	957450	10	20	28	#
88	899777	1	6	17	#
89	996440	18	26	29	#
90	701420	15	18	26	#
91	884244	6	10	12	#
92	970095	0	3	31	#
93	753967	8	14	19	#
94	992207	11	20	29	#
95	740481	6	11	19	#
96	950100	18	22	23	#
97	960455	7	10	31	#
98	985018	4	8	23	#
99	885482	7	18	22	#
100	888849	20	24	25	#
101	994264	4	11	30	#
102	850722	4	15	28	#
103	781276	5	9	12	#
104	909790	1	15	26	#
105	769713	4	14	27	#
106	843693	1	3	5	#
107	987007	12	27	28	#
108	954855	0	14	21	#
109	896197	0	13	16	#
110	992054	8	15	31	#
111	944389	8	9	20	#
112	797819	1	17	19	#
113	892339	3	13	28	#
114	981361	13	20	26	#
115	929291	3	8	24	#
116	996437	6	10	22	#
117	887849	16	19	27	#
118	997547	9	22	23	#
119	953478	4	6	17	#
120	893786	8	17	31	#
121	670181	12	16	26	#
122	886674	15	24	31	#
123	902545	17	21	29	#
124	974123	7	16	26	#
125	995352	10	12	22	#
126	967540	14	16	27	#
127	928567	5	23	29	#
128	939235	7	9	16	#
129	846530	3	10	28	#
130	936864	2	4	25	#
131	807170	0	14	30	#
132	972853	0	15	27	#
133	979362	10	21	24	#
134	569945	15	17	24	#
135	980532	2	6	15	#
136	945200	4	20	23	#
137	974949	5	18	22	#
138	988752	2	19	28	#
139	998974	10	11	31	#
140	915349	7	12	26	#
141	913449	7	9	11	#
142	993672	17	23	30	#
143	988317	6	8	28	#
144	938479	10	21	22	#
145	964826	5	7	16	#
146	958220	2	16	24	#
147	909000	17	19	29	#
148	982015	0	13	29	#
149	757946	4	12	21	#
150	620066	1	13	31	#
151	891216	0	9	28	#
152	778652	17	23	28	#
153	894959	7	11	27	#
154	929988	1	5	21	#
155	899871	10	12	17	#
156	977127	17	18	19	#
157	859996	1	14	24	#
158	808735	8	15	18	#
159	941027	10	17	19	#
160	996271	1	21	30	#
161	999179	1	19	30	#
162	993787	2	26	27	#
163	904638	4	12	13	#
164	763143	13	15	19	#
165	845900	21	24	27	#
166	910494	8	15	17	#
167	998091	17	19	22	#
168	982598	1	22	30	#
169	989652	6	10	29	#
170	941375	5	11	14	#
171	987723	1	4	27	#
172	851043	13	15	23	#
173	969259	3	19	20	#
174	894444	13	14	30	#
175	995983	6	11	23	#
176	864351	15	22	23	#
177	858428	1	9	28	#
178	993148	8	21	26	#
179	841186	4	23	30	#
180	997403	7	15	19	#
181	972593	29	30	31	#
182	937079	5	18	25	#
183	856001	1	10	19	#
184	785463	5	26	28	#
185	958984	3	13	15	#
186	995345	15	22	28	#
187	998019	14	22	24	#
188	830701	13	24	28	#
189	975866	19	24	27	#
190	984623	2	16	29	#
191	922066	14	19	30	#
192	905053	8	13	18	#
193	944052	5	18	26	#
194	545901	4	21	27	#
195	997412	9	23	25	#
196	587074	12	15	21	#
197	952814	4	11	14	#
198	807199	7	10	18	#
199	890358	0	9	27	#
200	827062	14	21	29	#
201	950470	0	11	20	#
202	813708	11	14	30	#
203	812859	6	16	19	#
204	793627	9	25	28	#
205	995419	3	10	16	#
206	898312	2	21	25	#
207	995760	2	16	26	#
208	936125	7	15	28	#
209	946056	0	8	31	#
210	989874	5	18	20	#
211	888632	7	15	30	#
212	978695	21	29	31	#
213	990500	0	9	25	#
214	968386	13	26	30	#
215	795214	4	13	24	#
216	959809	0	1	19	#
217	892567	13	23	26	#
218	644588	1	14	29	#
219	775869	0	7	12	#
220	997006	9	20	22	#
221	988150	11	15	30	#
222	868665	10	27	29	#
223	925866	6	12	16	#
224	842908	12	16	24	#
225	788357	3	8	29	#
226	971736	0	11	16	#
227	942550	14	24	26	#
228	934980	1	3	10	#
229	898995	5	9	16	#
230	958698	7	20	24	#
231	971929	18	20	28	#
232	987036	20	29	31	#
233	943722	6	23	31	#
234	902060	14	17	24	#
235	879528	5	11	18	#
236	895527	4	8	13	#
237	900693	11	29	31	#
238	999316	7	14	20	#
239	955784	9	13	26	#
240	741335	10	12	27	#
241	821572	21	25	28	#
242	979841	9	20	26	#
243	967155	2	8	29	#
244	965071	12	25	29	#
245	995420	8	25	27	#
246	928142	4	11	20	#
247	887842	13	14	17	#
248	743233	16	20	28	#
249	865126	2	15	24	#
250	881057	1	16	21	#
251	946316	7	20	21	#
252	807190	23	29	30	#
253	955168	4	13	31	#
254	925668	4	5	11	#
255	985978	18	22	25	#
256	990337	1	15	19	#
257	953925	3	4	6	#
258	740661	8	27	28	#
259	907602	15	20	23	#
260	948902	0	22	23	#
261	698700	5	9	21	#
262	961005	7	28	30	#
263	966096	7	24	25	#
264	934438	16	22	23	#
265	898763	3	9	27	#
266	934068	7	19	21	#
267	991794	6	17	19	#
268	948363	3	22	26	#
269	619231	12	14	20	#
270	821209	1	4	28	#
271	741723	7	12	29	#
272	592422	1	13	26	#
273	628677	6	7	29	#
274	966956	11	24	31	#
275	816572	14	25	31	#
276	936040	0	1	6	#
277	800939	18	26	31	#
278	890776	19	23	30	#
279	702853	4	9	29	#
280	962587	18	24	30	#
281	896476	1	13	17	#
282	948407	19	22	31	#
283	823757	12	19	21	#
